povertynews,428352489394405376
cws_global,367739585092395008
civilrightsorg,258379179136012289
johnfosterway,298866697111216129
lakecountycf,423906436918571008
joiedejackie,391582894583721984
ruthwilliams11,469537186421800960
greenvideos,398151950396846080
deborahstein1,246339015043842048
defeatpovertydc,265572781322805248
healthykara,286855383744671745
cookietweets,350654253494308866
jslats,565912642951581696
nascsp,557727097347911681
womanfish_14,316686783251357696
gregkaufmann,253666865379942400
pzollner,387664157127884800
jeff_gang,468415629989797888
wmhowardday,547148389356699649
mdgillespie,341954204866330624
brookingsecon,276346476513357824
2adventures,260553452286009344
saritasgupta,558644116733427712
brook_packard,418535421803757570
_jsarias,542408384792649729
centeronbudget,276336922534760449
wildblueberry,256097278023041025
bigdifference,273255736539234304
progress2050,288332922631634945
eileenregan,253974108080066561
georgecyoung,497749230245912576
halfinten,422747633187172353
ecmnh,527885228971663360
commactiongirl,474601925652918273
halfinten,387999604056137728
votingforkids,250597077032267776
results_tweets,370224911538995200
atd4thworld,464799131769536512
kristinfoti,383337767284908032
hungerfreectr,375002937065349120
jgoldblum,424219883824775168
mborum,512308205989679104
mparvensky,426880137230286848
votingforkids,426731800485195776
demaxagator,301539153420640257
kitrey50,426756293336899585
accfb,379641041772482560
tunisiandianna,241559858346856448
maggiempotter,307147959424937984
halfinten,511894843392417794
coalitiononhn,411514064141946880
erikstegman,492299970608107520
colorado20191,374914986151133184
liftcommunities,478948698664497152
voterm,271744192554860544
kacap_ks,459468449002307584
taniabradkin,435887536448081920
sidmohn,387598346375806977
halfinten,453926341885579264
roamiesrts,408661285639708672
gcyftweets,281846619526291458
latinoinvestor,514889037564239872
bricelandbettsd,559718624886525952
minncap,565602963264397312
bostonpovertyc,496659938698354688
ntl_homeless,301716156312600576
karissaleonard,259408454563807232
western_center,252844698987798528
bread4theworld,467391868700196864
tazramitchell,275756846256640000
chaerrobert,252991570519932929
marthastableorg,375250781298913282
dealsweetener,424328278791704576
kathymulady,256255213483208704
cynthiahealthed,310887267570950144
shanesmith13,264034272174804992
amervaluesnet,403598991931506689
myfnc,368752118473052160
helen_gerhardt,380384475722424320
geoliminal,389566604536590336
kimwadedc,268732528721002496
brucelesley,239052951736422400
civilrightsorg,296729158342545409
donnarcooper,565553020524830720
pdondesigndon,379319315641544704
ncadv,555469520807411713
occupyduval,540777332244754432
leciadc,520241362034495488
centeronbudget,375346769074204672
jude718,265226410698866688
ronnabolante,566251450242576384
intangiblelife,405053706497818624
jess_bartholow,491009636317671425
danielbiss,560867536087285761
debleesdavis,395573314254426115
halfinten,294845888722001921
mjmadill,528204137692139520
maxwell_weiss,344276071597879297
rychoimd,255696268087676929
brownsugawife,256130232782839808
janelle711,460799593857699840
miami_homeless,258204623855288320
fiahillmurray,251695608887386112
caasnm,423870115059204098
capartnership,358232752895705088
mirandareport,316578070452658176
iirr,261505436698681344
straffordcap,523116649457922048
halfinten,560476699050008576
bcarsley,347093679925768192
thirst4music,247771093446832129
deeppolitics,427026693119688705
rndolphsylvia,556525699889393665
clasp_dc,306418557443526657
talkpoverty,495203538306609152
kategiammarise,251764768929640448
andyaucd,395166923832311808
mjpncoa,277105821018619904
jess_bartholow,467455609051152384
stephensconslt,557725067438985218
centeronbudget,464775981166002176
jimmysw,557737175039901698
mpjackson,259078576077414400
luckyful,253592527993700352
jeffstraka,253213001799303168
hashonomy_gus,263739673074085888
bcabarle,512627662683373568
nascsp,412995068715630592
foodadvocatestn,396267745391562752
kristinmarie007,557728041070505984
bread4theworld,432296585188622336
watchingalice,310815862389084160
gloriadavi,296088494814687232
chaerrobert,349600436451414017
talkpoverty,558350345571926018
uagainsthunger,253665050412331009
eakenefick,253634459490996224
immarhino,301531177871872001
neenameena1,385457577124835328
boldfaithtype,436220478814822402
wvdawg,324787615595372545
harpereva,393478678081855488
susansternberg,300781397675749381
srconnections,314208911844597760
gafcpnews,420938321091911680
rebeccavallas,420929167862288385
liftdc,434140884175556610
atd4thworld,525889505832628227
cherylycb,301526243214516224
ccylevin,359618396138123265
mintpressnews,379729395994607616
povertynews,274236454337667072
umpastordebs,301527672415219712
chaerrobert,435199138477924352
juanrrodriguez7,461894253204234241
gpcahunger,527833938426097664
holajupiter,258237026858569731
votingforkids,317640799187787776
jess_bartholow,563350348413157379
hungerfreectr,266577703451385856
rebeccavallas,404306866773438464
deedarino,422023991126011904
sr_simone,410180746922696704
boudu,558436378389012481
