marcellus_swpa,499518756260163584
shalegasexpert,483885187504558080
_capilano_,560342713863004160
shalegasexpert,478853930303385601
talkfracking,471281506342952960
carolk728,473946082590724096
mikecoulson48,519824931472015360
pjwhittick,508607702722158592
trudgin,511825673053564928
pjwhittick,503129302461063169
rickettsa,491810610904973312
hvv_com,560355629098090496
dennishol1,559738511147171840
straitgateactgp,479512860926955520
davidmtt,479542892948885505
smarimc,478646537434980353
whenincolma,478734830990266368
richard_dixon,474945089656348672
jcpennyuk,478975271434223616
dawnscholes,478665688899661824
pjwhittick,520868056453488640
fyldeonfracking,494194076687036416
shalegasexpert,477825438291886080
stevenrhys,474213687973388289
talkfracking,475419778174451712
fuller_derek,473482243441438720
romaynephoenix,472314294328365056
damienluzzo,479195287102029824
talkfracking,471943651757944832
wi0106,552592735690321921
jenniferlons,473419635191455744
morrissey2020,473387647034224640
talkfracking,487156489589899264
frackstorm,555499207470354434
54abbeystreet,480092036146937856
indyrikki,546265237578870784
mtm1931,522119893726941184
rednotgrey,473521352201469952
lolamay57179796,478629096499707904
mittens57,478638379383685121
lisalovescheese,515607357959987200
gemharbinson,476454389012779008
rbrucereid1,515548575481466880
jerradkinsella,478621337716813824
talkfracking,471934692208701440
micjojd,474208327371456512
frackfreenotts,476447405635026944
shalegasexpert,488675362596204544
sadbutmadlad,488587951056896000
der_bluthund,440052910995812352
antifrackingsco,560230586435260416
pjwhittick,508908014490120193
fractivista,475985083233751040
jamiekelseyfry,446320663528480768
blinglam,474212228086788096
pjwhittick,473434766176710657
ukycc,478618565072134144
marcellus_swpa,505658778310942720
tbarls,473367288067141632
mbroberts4004,477191735370850304
ruthhayhurst,473534616209334272
pjwhittick,498775274952343553
mbroberts4004,489654283043090433
bourgmaurice,518017030067601409
neopog,546116397949272065
rbn111,476768260722274305
ffnyorkshire,493789876727582720
mae_carson1,571644059414089728
climatebabes,478626491006484480
shalegasexpert,479999458244321280
maxlawsontin,496349898783354880
talkfracking,484976917846970368
kuroikumachan,478639762656751616
kropotkin39,447039163037003776
gt060262,536958269370421248
pjwhittick,473428791881375744
pjwhittick,505295746502258688
foescot,477464991453679616
straitgateactgp,479522677854838784
annagrear,561949506590502912
griff_monkeyboy,553238547659239424
fuller_derek,498089399176138752
frackfreearun,545738050819862528
cryptozoologc,478795464633233408
talkfracking,546254916445306881
tinalouiseuk,473596222536974336
raff_group,476841885500452866
emily_winter9,511825274460459008
janetphgp,478811050343956480
talkfracking,557837835043356673
talkfracking,473408836779663360
holistics123,478661125970886656
kirstystyles1,478638774533246978
sueirvine3,523922153729978368
v_violeta_,483566913625128961
lsupremeford,511828190092726272
dare2carelondon,478637595426295808
jamie85p,478618707053527042
sue_lees,478205415176830976
bettyjo62,483974237481623552
mstephensonbfc,473513833743794177
pjwhittick,528540431567826944
maddyred3,473358802969190401
wearenativ,489383141271175168
titanresearch,476323275778564096
mrbeardo_says,474831860938604544
gordonpam,473379928873119744
triodosuk,523453509031972864
brainspiders,485398381720645632
jreb1,478648730623545344
dave_mains,515616447100616705
___lilyrose___,489379355756605440
julesdaniels,487868077481005056
jj_thescofe,476403163361468416
talkfracking,478627418102833154
banfrackingni,473717634476048384
bellaswoosh,473371267626958848
duurzamemode,517623865498161152
acmedarryl,475991379915837440
talkfracking,487609607070957568
pjwhittick,505291160789995520
jcpennyuk,478655286040096770
fuller_derek,484768881798807552
pjwhittick,508607178530648064
reality_party,495943105221496832
tarleton_sophie,486149510822105088
talkfracking,498089352204132353
pyrodrom,542659635459923968
pjwhittick,495944294566748161
talkfracking,491201946603491328
frackstorm,557922263660756995
tonybaku,478524225683464192
shalegasexpert,478836651570253824
antifrackingsco,553519755135811584
unclesi,478632387954634752
pjwhittick,502201678150385664
homesitter_,543766684218445824
hamilton_wm,537935599106539521
pritithakurdas,473443653546156032
living_aware,478647793653792768
outoftweet123,485514478239637504
mancman16,478278358804201472
dominocean,476662673569239040
healthonearth,542085875463905280
fuller_derek,479516061906513920
raff_group,533691327335387136
pjwhittick,501321614139863040
maureen18132,536660919880003586
cathymcrorie,542113446113054720
aliciafoxphoto,479928175779016704
paulined24,536660556485517312
mccleangreen,476429004053180416
georgettoouli,478852597814943744
ianiwrussell,561227587557801984
bigtail1,484387919227273217
brighteyedjaymi,474865976241311744
stephanieunaeze,446310931082268672
climate_rev,478916528440901633
fuller_derek,497071113143595008
talkfracking,489303476665470977
frackstorm,557515640752570368
frackoff_,487880575433580544
climate_rev,443411815104389120
tristanpartridg,473422127878897664
96_kumarock,489161126689509376
naturalgasnow,508615643164585984
talkfracking,471924526100402176
widster,553007421430706176
frackofflondon,478621627572584448
janiecestaton,473871433001476097
kipricephoto,478879841992077312
climateradio,478624751477616640
wafflefuckist,511898056346714112
jangobear,483688538169679872
fibo,520910741105561600
nottinghamcvs,476271043683024896
seedmagic68,515924864646266881
tinalouiseuk,474321227402588160
stoptncimpunity,496345892170244097
pjwhittick,507497735759888384
jrwwrj,478641565066592256
kuroikumachan,478659800440774656
jaguargal,478499350755020800
occupynn,478614269354070016
hayleym_g,473862631527579648
lucyamarshall,476674399987589120
cantfiggeritout,491915979937431552
kipricephoto,476392743950770176
pjwhittick,528542382871293952
pjwhittick,520869134335496192
cjspeirs,478634063184805888
shalegasexpert,506450689393197057
nzglittertribe,474654056146042880
redstarwealth,473420087127711744
xraypat,561239783230685184
savysavant,486548751331655680
bhanglassi,473358863781998592
pjwhittick,473426017726763008
coletgt,515548888489820163
pjwhittick,499132958020993024
adeleade70,474662998259560449
hillsideheather,556542643036229632
eastbournefoe,444467216428597248
frackfreenotts,476050564904927232
talkfracking,478624661182644225
pjwhittick,528536219719053312
michelldenise,486112393056247809
sj_revolution,440054440385839106
fuller_derek,523537408814764032
zuzir,520899147986378752
sadbutmadlad,487858098078380032
realfareuk,514752391275888640
grantplain,474628385067769857
shogbin,491892827828527104
tinalouiseuk,501467560164880384
earthandnature,484384757971955712
talkfracking,471941273746960385
greendaventry,442317559011246080
occupykarachi,478613556079112192
talkfracking,471935956522512384
stacyherbert,478630261111136257
pjwhittick,485768421851017217
pjwhittick,502203930772647936
deckspace,490988429476253696
tinalouiseuk,478246867491647488
pjwhittick,498778922633691136
allessandrea,478523446440525824
habitatplanners,476096232369426432
tristanpartridg,473053018313986048
031nikitaw,533738930819334145
edg42,475444143234105345
talkfracking,496661552813309952
marymrobin,518787423560806400
tinalouiseuk,494969496075902977
pjwhittick,528540769100234753
fuller_derek,557835352158003201
talkfracking,527078086798741504
anncartonbooks,563457966205337600
dacmetallica,479746927576510464
juliewassmer,486683232579379200
karenbadcock,552614915526361090
dji45,471327899908603904
lightningrattle,517392298649616384
tinalouiseuk,446735531653623808
bekiadam1,548798378256384000
dare2carelondon,478637518175600640
brynkewley,478634895775109120
mbroberts4004,481898990678851585
climate_rev,486890489938198528
crag_coona,511983556503941120
talkfracking,517697858301345792
superfastfoods,516181995538624513
climate_rev,474579694382100481
jerryod,498785967092686848
frackofflondon,478622464239747072
rozmacg2,485149983910678528
pjwhittick,498775239204278273
heatherrenwick,478879221603786753
sirjunkie,478519147643797504
kieronjbryan,473433611702915072
wi0106,545349653252698112
finkle0,473410408808996864
sstephanieshaw,474259099274969088
nodashforgas,484378707788718080
sarahchalk99,501470214794772483
juliamazzafiore,486599244120612865
hoholasoymarce,512044939572944896
abigailartist,473450232232304640
kingdonward,487644683347435520
imamja,478820127987994624
ventingexpat,487630591501008897
miskhills,476396767022678016
sylvasoul,560240114342043648
fluffydebbs,474244436709625856
talkfracking,477419328397008896
dare2carelondon,442326253409144832
drumjack21,478522110823133184
tigerjaime,478647298030063617
stewartacuff,481062933741334528
fuller_derek,493098804556857344
lawrencecarter1,479551440445505537
aaannvail60,537949302199685120
juliewassmer,478836453401968640
talkfracking,471693989360697345
frackoff_,475956552873287681
pjwhittick,511089699847671808
talkfracking,546253235175313410
frogcranky,478645103955677184
lizchape40,473410339569410048
ukycc,478631676156076033
tinalouiseuk,487014250611630080
notofracking,447462424439185408
spacevw,496347225451405314
mwfrost,478509923324932098
frackfreemayfie,533340342532444160
pjwhittick,499135999193391104
frackingfuera,560592917065383936
noddy871978,536513903057182720
chrishumphrey,502502380949471233
bluefloridian,475585213394079744
alexeibez,478608581802348544
adeleade70,476658073445367808
indiheath,511826768077258752
triodosuk,497286092203495424
rippinaveia,518737277451632640
talkfracking,472052387184918528
carbylohr,478624650100887552
greenfuturebrit,478175281786920962
pjwhittick,528542969071419392
kozozoe,474251886397116416
ch_p1964,474198026614243328
pjwhittick,499138206814973952
nofrackingni,546255626855522304
kipricephoto,518857115314958336
angryflatcap,556111927831961600
ortmanhelen,478897084834545665
shalegasexpert,483342574921723904
climate_rev,478867798689849345
shalegasexpert,482486745091825664
noush555,478640668299231233
pjwhittick,507497839438860288
kipricephoto,512171879592099841
pjwhittick,499132569225789440
pjwhittick,508606722421043200
hesketh50,570348004277751809
awhitson123,470946357227048960
doll_skin,475972425322999808
jutchee,515589030239821824
pjwhittick,528544789810393089
spizaetus100,509976563824082944
shalegasexpert,508981526269550593
officialnokinhs,478109397420605440
davidmtt,479542897394868224
belovedladylove,506361070748180480
pjwhittick,508604962642096128
meaghan_edwards,473574618607779840
sufiboy,473569035045859328
rozmacg2,496664349717835776
talkfracking,482822182922645505
philmanners,474876923894849536
comermd,511825253920948224
lilobri,522000201759076352
talkfracking,497070988828626944
shalegasexpert,481743306452639746
derekjwilcox,488067824439406592
charlesmunn1,547058328434532352
talkfracking,476089693877329920
hearthhealing,490812063837466624
shalegasexpert,506129091842822144
azizdayang,506208610389458946
climate_rev,475646321165361152
divinejosephine,515657355066114048
pjwhittick,508607317915750400
astrobunchies,473404002571657216
shirleygreens,478657509482586113
pennardproperty,478632163953610752
talkfracking,508542913929048064
climate_rev,478628554482384898
radica_indy_ruk,545976157825679360
richard_dixon,502833222460641281
thenorthcircula,478620284560236545
barrykilloh,473518155730808832
sheilatequila,523021697809911809
talkfracking,473818241408966657
jameselston3,478909552298319873
