camfenton,301870616796078080
capewindy,507601327992500224
roots_creative,547599060731834368
trillionfund,529951748090523649
fossilfreecan,303994990462386176
greenfuture2020,399361617822904320
toddjthomas,412402303392841728
ss_living,468247269368545280
rk70534,528678565923938305
sequencefree,525351480971501568
jessworth,525584465746477056
memasters,278935809766350849
camfenton,450000062890770432
christineeboyle,421125668177321984
agent350,404259694119628800
yossicadan,566222597453410305
eastbournegreen,557525304693260288
cocherilpierre,484258084080988160
lareynedepee,511800596215894016
moskaflocka,374585900983803904
shoshblank,516630945752178688
tessi_frechette,535410454039113728
defaulten,525994859241697280
aaron_kiely,466190325070168065
climatehawk1,334403495279071232
anne_osen,520118123484438528
littlemel24,528678323438616576
ariespuebla,535491159398051840
anthonysanti,516670568184442881
350vermont,443229423677235200
c_baudains,530252694317826048
shareactionuk,564063029994995712
evaninboston,432290146462228480
carboncoach,396266824515321856
rl_miller,309159672647127040
browndivestcoal,298649788856033280
antonovas,533682588054192129
joinstudy,478885100101189632
rootscamp,270249821338738688
betterfuturepro,397057345723056128
positivelyjoan,336646858397081600
virginiaincal,513348932886208512
gratitewd,528677737683120128
colin_fleming77,519879364344025088
jay__myers,534468808682250240
gdrnorminton,461140808910270464
sanfrancronukle,453551523239170049
jushabhesed,396008819580739584
lynn_mistie,466787550858715136
ethicaladvisers,520392932482772993
monkkeydragon,527892795261214721
cienita100,566612171585781760
andytuit,543415030973100032
350europe,519143865954340864
janvervoorn,402071947309514752
sara_shor,461559216050671617
kimjonest,375706771182321664
cbultel44,566199102774718464
eulaliaff,566577928927195136
paulinerutter,513704695471566848
billmckibben,463786981311254528
saratelahoun,560736131432865792
marthahotz,507863430573727744
bham_foe,566220396739846145
banktrack,563337459959078912
pcamachobotero,566718181218058240
bigreenk350,271074693820342272
emma_hilary,480005485090070528
rcleonricardo,566597361389285377
chunkymark,314115785041776640
casealabama,299563487288496128
eshnapp,519910264724926464
rebecsnow,560404772332007424
richard_gknight,484304174125821952
_beechnut,342787396456288257
gdanawaters5,554405925789130754
energyaction,329271515809980416
metadesigners,485777836481855489
dickelk,400944667187224576
guiriguanche,512374258706952192
eshnapp,519909862893834241
jhleewrite,453911399631454208
porartedemajia,566652916640280577
peopleandplanet,305739257945927682
forkare,395917797684809728
peternimmo1,396387440224894976
peter_night,464095807159816192
mschellentrager,321318877659275264
mygreendir,513680663388889089
shareactionuk,562992220547346432
fuller_derek,398665622831505408
fossilfree_uk,352400992605704192
sciunstained,395917762767638528
act_mick,527739357461876736
mc_chesney,552883683645202432
greengero,395683979241996288
dkgordon,462984520946688001
