billmckibben,470610657759358976
lingitta,362726904870080513
gregorycrocetti,462399031084212224
bryan_field15,499165904731516928
rotory26,462868700949790721
350vermont,314099172410277888
uoft350,531119384082018304
ozackrisson,469820566514696192
dianemann1,347251989245218816
fuller_derek,507759717335052288
remembrancedk,383646345107484672
globewasserman,336563844325445633
rochuck,431926420583886848
divestunh,276036912681213952
wishing_box,523645953400922113
sustainabhub,298089422463840258
annehicksharney,276184057325428736
kelseymech,530920520561459201
greengregdennis,477440370976882688
andrewbradleyhc,374680696972795904
davidlepageza,467209757892177920
johncbeynon,455374645332422656
sarahingeparker,362725082520911872
ccferguson,465108324694765568
fossilfreede,380332605226246144
kelseymech,531459481956548609
kk_perry,530889370514259968
divestandinvest,317681421907005440
fletchcm,411516355717103616
marialuisapetr,566738586478071808
juliagdarocha,495201157242179584
suitpossum,570715730137747456
freeksels,441165677441720321
michaelfstanley,517940741130055681
shaundakin,566224110897102848
greenimpactdc,420534686335905792
fossilfreeswe,401316300930039808
healthy_climate,454398019006242816
cleanyield,521652548290105345
mayboeve,334074390859894785
350orbust1,280857824542720001
350moco,566062219335843840
sarahmassey,372719384911183872
bum_logic,331207604263079936
robbbla,566623016537554945
metropolsolarrn,540385969690906625
takvera,471643951707856896
farzedraki,309109523027750913
melodeego,344629192840851456
350australia,355986156862701568
nyudivest,354657942798217216
sandiestratford,566673636674011136
chloemaxmin,338017479848759296
yanicktouchette,556180614442139650
manaskunt,532596661105999873
interdependents,470620131513491456
dcdivest,409138967217713152
good4climate,535200000478048256
elysiapetrone,319841691462950912
gofossilfree,566375043434029057
jimrecht,429669622187843584
uoft350,532324335147429890
frackfreefarm,507759490351915008
jisham,566299498570588160
rl_miller,277099497417482240
greekmcchic,506233809012944897
ruthibrandt,353553956443656196
350moco,562950051128156160
kantelaars,458659309141114880
camfenton,296664517335736320
sninkypoo,531840216508559361
liamkhardy,545179743109537793
wenstephenson,299553841802788864
cloudscreek,559910036277719040
sun09re,566634909217746944
shirehouse,338014335349698561
heliocurrent,316927663455485953
aplaceforchange,562548608202211328
elleharris77,528398797177913345
benji_dw,531114883887431680
kk_perry,531114916045135872
il_cambiamento,563601495401447425
jonhinck,299358027788738560
jackie67summers,507922904193851392
orangepoppy2000,519640822468210688
zerocarbonworld,387563293961097216
dcdivest,410791358153371648
otpglobal,411656976381120512
stopkxl,382863521777598465
eibbednosredna,405386340088311808
350,300775026003677187
steventrox50,565230897884962816
wayne31r,520311206137954304
tpartythis,403294483649134592
oroeco,349681909506379777
ciarancurtis1,535424043244347392
edsust,440061431292362752
350vermont,296687091755126784
priscillast,278213466555301889
lepianoman,566290818269741056
sqawkin,441336904412168192
vinepsychic,565772062631800832
rockthepetebeat,355050672565129216
planetmediazone,566446519877115905
350australia,351288927904219137
gjoesq,505700185326882816
350mass,408623396252295169
lizisaac2,359364692101185537
jreddicliffe,290512962928640000
wenstephenson,306187455047032832
naomiy007,462484962910810112
kenburridge,524895879556521984
cleanairmoms,566351156876935169
marialangholz,461137400953962497
stevepog,339536873603084290
healthy_climate,551861666854367233
uoft350,532321468990775299
divestharvard,398914884701663233
melodeego,343559831589896192
fossilfreekcl,410862002102628352
jamiefolsom,455727459804401664
nathankhensley,556115109534527490
chloemaxmin,455056043471818753
wendoureeswans,519771957001068544
matogi,505267147916840960
steve_evpx,431385787280547841
rabbitgroup,565553520280342528
bigvolcano,350446982453657604
fossilfreeuo,531104337154424832
melodeego,334473726571728896
tweeting4earth,535199976239157248
divestclaremont,399633247107153920
uoft350,542381149650427904
geerdschlangen,385119288799268864
divestmcgill,509458448216375296
momentaproject,322855755298504704
phender6,309314608601124864
fossielvrij010,559846359323664384
normanfournier,530897595498258433
mizzenr,394542783320444928
evanfeeney,443827112479559680
camfenton,294821254572158978
carrowestblom,469756737776791552
somerfossilfree,515230448323420160
ar7za,388279704601391104
evanfeeney,366547142107598848
gofossilfree,453654858281668609
greens4oxley,550752818466811904
pandpsheffield,535028056919146497
stringy32,550486639860920320
lapoliticayyo,557817244131278850
worsethanpoop,509133183237885952
jonesdesign1,494984014512812032
unitysustain,326467898795237376
corenewable,563707939702063105
jessepettibone,456566906602782724
carrmelo,564690056259317760
fossilfreecan,317030024345686016
julia4oz,362723914935320577
marcvegan,566723134737633280
lesleylandis,303148426378506240
cynthiadellis2,344630820708954112
ilaria_bertini,390770245096329216
cousincat,462607172900106241
lindsaymeim14,539531183134998528
dhlovelife,278214068941254656
divestclaremont,395650395709505536
mpchristoffels,311594693433622528
kksaturday,470711485090779136
lcolloridi,462110502479335424
beccarast,455056568233365504
carbontrouble,461568339840864256
shoshblank,306075249617817600
corinneehanson,357138388861718529
yannlouvel,359688783811194882
ghoberg,539518539615305728
patrickmc82,431230574242439170
edunipandp,566201064257765376
350australia,521105809573289984
dianemann1,384167393586462720
reneleonhardt,405003656250269696
greens_climate,566561704264597504
edunipandp,566208126329040896
tweets_by_jonny,519931523626459136
aytingb,443474322783731713
uoft350,530946592317399040
divestclaremont,419560396387659776
justinvestfp,445465905556754432
mountainmagnet,555998869545156608
billmckibben,275102243735367680
klimaatzuster,458645513550958592
jaimels07,314040340430598144
change_of_art,566666585159774208
joerithijs,568736262686945280
jaycarmona,377490871715135488
sfuocampaigns,380708313543245824
tanster1402,387501834480668672
mc68ec040,469828884234383362
cpchesneau,532588396020256769
