workforanimals,548657919340736512
whale_of_a_song,366574222606221313
camslaw,541765804681736192
whale_of_a_song,405858385955782656
whale_of_a_song,215178502918516737
oceanshaman,547890670904815616
whale_of_a_song,477837676662386688
cleoma131,513007166345986048
dmeerstein,424287027585380352
whale_of_a_song,197429672705921025
skpepper,405524946727628800
whale_of_a_song,414804739012849664
shine66,514450261998579712
whale_of_a_song,255631026334887936
martelrose,268471035131727872
becsbella,511623608150790144
becsbella,539937762279837696
whale_of_a_song,329875105188573184
bollie2,377530772443635712
whale_of_a_song,328221494767411200
yquinn1,409475154310598656
kkozik,541784384425459714
pazzalou,516357768622915584
whale_of_a_song,250059281750188033
nicopicousa,512023150587289600
iloveadam2much,406254220611174400
blijvisje,549486420797440001
whale_of_a_song,416865939615789056
refazioli,539924345523429376
whale_of_a_song,483673602516983808
idmtndoll,405718508123615232
whale_of_a_song,521233617347817472
brofra,424503600396894208
whale_of_a_song,486285948330590210
suicideratt13,514475574983946240
doortje,404408448927821824
whale_of_a_song,197021752570814464
derickpauls,406288676243918848
radelelane_lane,481921286630027264
beckybarath,547609835895025664
opurra,514550493327400960
foxewise,294163247559499776
catcookghes,406337723696676864
whale_of_a_song,467758681061195776
whale_of_a_song,191457862118146048
whale_of_a_song,378238479697596418
debsnicholson,302939932098453504
reginajjk,513128778001039360
lorel_ee,273574460886487040
savethedolphin1,532671083925999616
mydumbodumbo,138473892204396544
tina5925,512185147203260416
voice_ot_orcas,409421673385828352
chibiwanwan0614,295378983783124994
zunkings,428372136492011520
jaimyenmourad,302183115206582272
aberber1,291301067264782336
zhalli1,517328052712243202
whale_of_a_song,383276998602153984
whale_of_a_song,357582407869792256
darcyahodge,404375315851378688
whale_of_a_song,252618427888439297
whale_of_a_song,217442132586270721
stevnj4,155830267544731649
saramazzini,521921939422855168
foxewise,387019889170337792
cow2moo4,515779714460712961
minniethemooch,404356253272776704
whale_of_a_song,387761827134054400
nonaharman,514566977575088128
whale_of_a_song,322914262316093440
negropatasucia,404451557057757184
rattus_austrlis,378746161034588160
keyhole__kate,535244636588359680
kittrulz,404430648443543552
1draakje,264127385887203328
daisybelll,244171730199904256
msssmitty,405731664875487232
moejunko,545774790489829376
nico_day,541769251556556800
cornwallsvoice,405504151922024448
rk70534,510209853105897472
whale_of_a_song,465712787524562945
catcookghes,406337240533856256
whale_of_a_song,215533838179368960
balidive,406241781135589376
whale_of_a_song,302529786885058561
whale_of_a_song,312880488094253056
costedoatd,512663221279281153
whale_of_a_song,375407459520622592
heathergirl_pel,149327318911950849
dolphinpaige,246311391315783680
whale_of_song,540515704059854848
sgeis22,387027716219744256
whale_of_a_song,212513455117307904
whale_of_a_song,454591994199678976
whale_of_a_song,276158497488523264
tinalouisejohn,532357104464453633
whale_of_a_song,366981907218575360
whale_of_a_song,266102249422483457
whale_of_song,541602877664264195
chompie97,536305081038041089
mrsprime81,533728463086055424
shereej,533505842625011712
whale_of_a_song,317229136731045888
nydianc,256495538667671552
careenamy,547770821520130048
whale_of_a_song,364264045630586880
daisybelll,424330145009520640
gvorpe,536350164017881088
foxewise,162889237136551937
careenamy,547493216690638848
andyhunterart,404420634496598016
whale_of_a_song,393333455989125120
onelonedolphin,546426786980970496
lenzolois,539924260525858817
elusivetiger4,512334195788886016
whale_of_a_song,360572320483524608
whale_of_a_song,265694531423449088
loli_ok1,515541303053287424
rsdparents,427208803294392320
oddoppo,404423329701851136
martinokey,424782110650798081
whale_of_a_song,173352923672215553
sharontrys,406255807362510848
veggigrrl,173182714403500032
whale_of_a_song,393605223047901184
suziurell,515917461829730305
articles_forex,546442466807644160
whale_of_a_song,318429487232585728
whale_of_a_song,292465923858784256
micheleelys,526424501018308608
retrogirl01,547185627708784640
whale_of_a_song,340376706902810624
emersonfan1,481918674329038848
